1, 홍길동,93,56,85,234,78,1
2,유관순,52,79,70,201,67,1
3,이순신,64,93,77,234,78,1
4,강감찬,67,61,88,216,72,1
5,김구,66,74,76,216,72,1
6,김유신,56,81,79,216,72,1
7,홍길자,52,85,74,211,70.3333333333,1
8,홍길순,76,67,51,194,64.6666666667,1
9,iwinslet8,53,92,74,219,73,1
10,aweetch9,94,85,57,236,78.6666666667,1
11,hgalliforda,94,94,50,238,79.3333333333,1
12,etonbyeb,69,75,98,242,80.6666666667,1
13,nshelpc,99,72,97,268,89.3333333333,1
14,adefriesd,80,79,51,210,70,1
15,jclemote,60,99,69,228,76,1
16,dbranthwaitef,61,98,95,254,84.6666666667,1
17,aalexanderg,76,89,52,217,72.3333333333,1
18,tpotteryh,58,85,75,218,72.6666666667,1
19,cpleveyi,95,57,92,244,81.3333333333,1
20,nswatonj,62,99,81,242,80.6666666667,1
